(1, 1)
(2, 0.011726031476422006)
(3, 0.15823681415085983)
(4, 0.031908438412158659)
(5, 0.11909678466569119)
(6, 0.029427204928927881)
(7, 0.11324232882538299)
(8, 0.020911207678239608)
(9, 0.10098555402475774)
(10, 0.014093269460690994)
(11, 0.091040413884258764)
(12, 0.010289380855112228)
(13, 0.084484500501741971)
(14, 0.00039407062779628761)
(15, 0.074849841419196816)
(16, 0.0035743767946343611)
(17, 0.069607956753923811)
(18, 0.00082029287684929014)
(19, 0.064573376415675315)
(20, 0.00068528600562925174)
(21, 0.063762707026049123)
(22, 0.0034734860089836624)
(23, 0.059522796731033958)
(24, 0.0024064423878439514)
(25, 0.057506404292724599)
(26, 0.0015880804292531731)
(27, 0.05581191498296656)
(28, 0.0015403029659760623)
(29, 0.055450871383571916)
(30, 0.0011250914564078815)
(31, 0.054330168665280829)
(32, 0.00038782533512977003)
