(1, 1)
(2, 0.035672832941144116)
(3, 0.20064425465792596)
(4, 0.025576746087256762)
(5, 0.13437423192109457)
(6, 0.018975755442196793)
(7, 0.12051774937990872)
(8, 0.0019341033596274901)
(9, 0.098570913634853402)
(10, 0.0061938079777304573)
(11, 0.088045005045930561)
(12, 0.0052695315571218331)
(13, 0.084830118764602405)
(14, 0.0048739402773187437)
(15, 0.082797969689076045)
(16, 0.0046294801288258138)
(17, 0.081372003445610325)
(18, 0.0035891360519954185)
(19, 0.078394370694582521)
(20, 0.0031649070492467549)
(21, 0.076622213980457501)
(22, 0.00058379501453479071)
(23, 0.071280451160557493)
(24, 0.0058995160297108939)
(25, 0.065209220088052272)
(26, 0.0050912937031492266)
(27, 0.063332990069090336)
(28, 0.0050834121663378669)
(29, 0.063196180001776056)
(30, 0.0049323029614173151)
(31, 0.062421309202838005)
(32, 0.0041976441984641439)
(33, 0.060731798855288038)
(34, 0.002739912974276666)
(35, 0.058320477313688723)
(36, 0.0025812346058692059)
(37, 0.057576861635559938)
(38, 0.0025332501176911853)
(39, 0.057199732843400755)
(40, 7.8580686181047255e-05)
