(1, 1)
(2, 0.26585544856604781)
(3, 0.19033878113520605)
(4, 0.21805722325686694)
(5, 0.17161512804642579)
(6, 0.13380803678322245)
(7, 0.13146869182915044)
(8, 0.13015281497245679)
(9, 0.12525634043581901)
(10, 0.12907317776504673)
(11, 0.10986686341831629)
(12, 0.1406694192802258)
(13, 0.097838150001255175)
(14, 0.12858008867834939)
(15, 0.076133748038609589)
(16, 0.13332392088674302)
(17, 0.067680587637774015)
(18, 0.1359093314345651)
(19, 0.055153388364981112)
(20, 0.1316056438457818)
(21, 0.045134759339643234)
(22, 0.13630298299620647)
(23, 0.040265676079196622)
(24, 0.13333130631682502)
(25, 0.035066551894651229)
(26, 0.13430100015240784)
(27, 0.030197021787254159)
(28, 0.13443896904581285)
(29, 0.028475545516938743)
(30, 0.13412803866212031)
(31, 0.023945202343244969)
(32, 0.13320003127353883)
(33, 0.021710098005667228)
(34, 0.13376472154074981)
(35, 0.020010328287063953)
(36, 0.13402942504035556)
(37, 0.019426136851520011)
(38, 0.13453875231808621)
(39, 0.019021989444809127)
(40, 0.13496571761703138)
(41, 0.019421502024222839)
(42, 0.13477391889515739)
(43, 0.016055871005297845)
(44, 0.12537962742792966)
(45, 0.014160853366116957)
(46, 0.131048861992592)
(47, 0.012935818628705686)
(48, 0.13359552346669268)
(49, 0.01164569150991325)
(50, 0.13736586231443856)
(51, 0.011504004804581714)
(52, 0.13356063695879605)
(53, 0.010172954041804775)
(54, 0.13261405368822399)
(55, 0.0097843781288132602)
(56, 0.13315353019724199)
(57, 0.0090924007428097881)
(58, 0.13656030625399021)
(59, 0.01342014845783901)
(60, 0.12653793970142821)
(61, 0.012666582813052513)
(62, 0.12714727242570464)
(63, 0.0062967865459964646)
(64, 0.13783878612615763)
(65, 0.0074710365036278776)
(66, 0.13073237777144622)
(67, 0.005065521069615754)
(68, 0.13710557245322269)
(69, 0.0050205182331809232)
(70, 0.13726213600652903)
(71, 0.0048219915220437662)
(72, 0.13318178501716174)
(73, 0.0042500783103503028)
(74, 0.13304524383762592)
(75, 0.0037639383619428113)
(76, 0.13773274625607212)
(77, 0.014406281642267002)
(78, 0.12590796094214132)
(79, 0.014134144220598107)
(80, 0.12592292378491771)
(81, 0.014068435075408694)
(82, 0.12615303079067736)
(83, 0.012214282417697274)
(84, 0.12746053587255177)
(85, 0.0024700668403226803)
(86, 0.13439772326896596)
(87, 0.0025673845241133333)
(88, 0.13686379350873523)
(89, 0.0089717428093154753)
(90, 0.12969138255908699)
(91, 0.0083775910406777253)
(92, 0.1300030104616221)
(93, 0.0045001193835237183)
(94, 0.13267569383785907)
(95, 0.0036749306130874682)
(96, 0.13329928889883966)
(97, 0.0058857712311382289)
(98, 0.13947299456619866)
(99, 0.0067347251148485972)
(100, 0.13116629848908362)
(101, 0.0021492146004840678)
(102, 0.13713856708729816)
(103, 0.01505451770961156)
(104, 0.12539612953137252)
(105, 0.012316826618624323)
(106, 0.12738002205381316)
(107, 0.011729642041652902)
(108, 0.12779475566441084)
(109, 0.0047042403066466527)
(110, 0.13247528506435416)
(111, 0.004903165580629666)
(112, 0.13242495839365453)
(113, 0.0049732186840538758)
(114, 0.13886033819098542)
(115, 0.0049407601540136046)
(116, 0.13242228893427713)
(117, 0.00085962973025864023)
(118, 0.13566689942756407)
(119, 0.0058961726439931547)
(120, 0.13178187224885807)
(121, 0.004443598856969256)
(122, 0.13860435972907734)
(123, 0.013307065053634678)
(124, 0.12669880390236504)
(125, 0.011321595992574377)
(126, 0.12803193303515839)
(127, 0.010034193622451624)
(128, 0.12896852943949005)
(129, 0.0091357035453294051)
(130, 0.12957488596100733)
(131, 0.0027824046806486568)
(132, 0.13384754239882382)
(133, 0.002389360651944809)
(134, 0.13713483971214191)
(135, 0.008086343612649028)
(136, 0.13030972692409784)
(137, 0.00053820510349874239)
(138, 0.1351393082998246)
(139, 0.0039073217978888982)
(140, 0.13288875218710566)
(141, 0.0039623119509105756)
(142, 0.1330183240555127)
(143, 0.0031615940163778489)
(144, 0.1333887650151927)
(145, 0.003009033809323324)
(146, 0.13357534275930294)
(147, 0.005782025835745149)
(148, 0.1318786364053221)
(149, 0.003216844564982634)
(150, 0.13780663469285179)
(151, 0.011264546431319498)
(152, 0.12811959079960539)
(153, 0.0062860276504567887)
(154, 0.13154098568868031)
(155, 0.00015653312761334214)
(156, 0.13548150718471835)
(157, 0.00084796253696202027)
(158, 0.13628235220881274)
(159, 0.0012114049022713949)
(160, 0.13476126182310305)
(161, 0.009934333776736531)
(162, 0.12901796017493247)
(163, 0.0026421618326086024)
(164, 0.13733902595405056)
(165, 0.01026217920919033)
(166, 0.12876698997738018)
(167, 0.0089819305285814242)
