WEIGHT: 143616.106453, 138584.84057 
THETA: 2

Ground Function:
TF
+1
+10 +10

Arguments: relu winnow ground_file.txt sphere 5000 2500 0.2

Training Updates: 256
([0.8972995186105468, 1.983025929375018, 2], [-0.15633845769574944, 0.9877035418815275, 1])
([1.5440371085892826, 1.2885420341317513, 2], [0.7830458837048482, -0.6219639410873379, 1])
([3.076459659891917, 1.384984697065961, 2], [0.9945636493006846, 0.10413043498278846, 1])
([3.327436482792337, 2.75766858656687, 2], [0.11314005158317113, 0.9935790500648439, 1])
([6.162451388825136, 2.0079494418439556, 2], [0.8890932342523593, -0.457726141712137, 1])
([3.956173365003112, 3.4214272761159745, 2], [0.6393987127656742, -0.7688753384740592, 0])
([7.077409837483617, 2.3467196235226027, 2], [0.8391158166847897, -0.5439527977586094, 1])
([6.841142177315134, 4.689535517689285, 2], [-0.048984251651558564, 0.9987995510061749, 1])
([4.758438368666761, 8.463871080719478, 2], [-0.5237490279950365, 0.8518726170468531, 1])
([9.036410730172904, 6.506980219301889, 2], [0.9252616613331578, -0.3793294848373969, 1])
([6.587163458727889, 12.058015172547309, 2], [-0.4560924960849352, 0.8899323766528631, 1])
([12.09035062461878, 8.632867619559697, 2], [0.8761268281022894, -0.48208067901485274, 1])
([7.382531280315038, 14.048607103011717, 2], [0.7116686145937046, -0.7025153258130935, 0])
([14.008585156325784, 10.779825860782571, 2], [0.9241237840526698, -0.3820932238972248, 1])
([9.246696180494514, 18.775578701397627, 2], [-0.5993013615634192, 0.8005235024833636, 1])
([14.720772607701859, 11.229225518389189, 2], [-0.6708435002739058, 0.7415989469654432, 0])
([9.429657123306036, 19.098776735665847, 2], [-0.6425761736725606, 0.76622180928784, 1])
([17.721734411065462, 14.333638195718175, 2], [0.910242587760747, -0.4140753934087593, 1])
([11.68428022525862, 24.94396404544738, 2], [-0.6009509421448418, 0.7992859095062462, 1])
([21.151433410051208, 17.435454618284137, 2], [0.8561865725665125, -0.5166667716786206, 1])
([13.58979926831194, 29.728952997297966, 2], [-0.6382312900024251, 0.7698446729450301, 1])
([23.747748947896255, 19.710382664436402, 2], [-0.8052666201227149, 0.5929128692448321, 0])
([15.427031968658424, 33.90999525220851, 2], [-0.6223302404801805, 0.782754796717261, 1])
([25.08663782891443, 20.69095713848758, 2], [-0.7014586040691665, 0.7127101983115831, 0])
([15.290531587761384, 33.60928498149017, 2], [0.7142805662330015, -0.6998594663944061, 0])
([26.593520190313644, 22.141921393828696, 2], [0.7984361956700523, -0.6020794311749356, 1])
([16.158607182179935, 35.85132340102063, 2], [0.7187719117383, -0.6952459556847991, 0])
([29.908736417551346, 26.075470934740615, 2], [0.888264112885465, -0.45933306625998327, 1])
([19.339163581609455, 44.69349848274431, 2], [-0.6290415612178598, 0.7773716706058933, 1])
([35.30177982696225, 31.686706404190076, 2], [-0.8682155227500868, 0.49618726913917627, 0])
([21.057336030012717, 50.29709422502886, 2], [0.7454179902668148, -0.6665973445691057, 0])
([38.565843382843354, 35.86946314524681, 2], [-0.8730007289081408, 0.4877189019567058, 0])
([23.43925821922777, 58.094023754653996, 2], [0.7183967474265209, -0.6956336056337384, 0])
([40.629822606047355, 38.10461577089748, 2], [0.7936121520281291, -0.6084239904485045, 1])
([24.11880757878911, 60.155412524670865, 2], [0.7523804827148393, -0.6587287827549252, 0])
([37.99870158694048, 35.64630475936264, 2], [-0.6557915396925005, 0.7549420219246904, 0])
([22.510917831969227, 56.14286347669222, 2], [0.7553252419746731, -0.6553501192766363, 0])
([40.46153730292456, 38.79317234902004, 2], [-0.8459262543204219, 0.5332998896037959, 0])
([64.13791974795245, 23.11175690093276, 2], [-0.6646264271530183, 0.7471758242407296, 0])
([43.07617637090187, 40.76357887790431, 2], [-0.5742873664376821, 0.8186537856445003, 1])
([67.85304405300923, 24.151383066005405, 2], [-0.6555233442456981, 0.755174910301538, 0])
([40.86308642833627, 38.73998683235354, 2], [0.7316153635786817, -0.6817176540002712, 0])
([24.85539651897885, 62.7950419799329, 2], [0.717239057507964, -0.6968271911923984, 0])
([46.915557097835894, 47.589148568444124, 2], [0.916507277821616, -0.4000180117194865, 1])
([28.091963497272808, 75.86001684986321, 2], [0.7399089310028899, -0.6727070490355818, 0])
([52.12690618915287, 55.44469304857717, 2], [-0.8918707706932222, 0.4522903142706882, 0])
([83.72925963763007, 33.43338878658053, 2], [-0.6837036320464245, 0.7297597848104043, 0])
([52.314772737253016, 55.63055696379809, 2], [0.6785134736269781, -0.7345879566850059, 0])
([83.41975947378135, 33.320047949001605, 2], [-0.6731707577173445, 0.7394870728783948, 0])
([59.57341261161881, 61.071726391953206, 2], [-0.4857205474842991, 0.8741141514422202, 1])
([96.4376751614296, 37.10016394072952, 2], [-0.6949282670867066, 0.7190790663090304, 0])
([62.99146419310669, 64.10285906811914, 2], [0.614440526014455, -0.788963142352721, 0])
([100.97963907560056, 38.58266965039496, 2], [-0.6808361748117008, 0.7324357330631618, 0])
([75.15938325193542, 72.23297701026023, 2], [0.4260392926353284, -0.9047046596159373, 0])
([44.721547681339146, 114.33908284262891, 2], [0.7489831117591402, -0.6625890870664828, 0])
