(1, 1)
(2, 0.10166041877529992)
(3, 0.29979369185654525)
(4, 0.025979678267750699)
(5, 0.18092351925124059)
(6, 0.26932670083401422)
(7, 0.15465035165565214)
(8, 0.014661854070165426)
(9, 0.14991664261348278)
(10, 0.23969510672190639)
(11, 0.1254388835925988)
(12, 0.0012055713724833845)
(13, 0.11941053383436223)
(14, 0.0012605414523368915)
(15, 0.11117520155928456)
(16, 0.00061816393712565163)
(17, 0.10472945508865893)
(18, 0.015272808608389817)
(19, 0.088909005301504057)
(20, 0.0059009384876491031)
(21, 0.079060289621481733)
(22, 0.0051578508420975595)
(23, 0.076771201898105837)
(24, 0.0051271456320322751)
(25, 0.076245328832102)
(26, 0.0047317550949748551)
(27, 0.0746086571810477)
(28, 0.0046549145343607974)
(29, 0.073949534148313914)
(30, 0.0045824863836745906)
