(1, 0.33455702660478787)
(2, 0.26583324918395218)
(3, 0.19001163244661301)
(4, 0.25047217870116922)
(5, 0.1984587189335266)
(6, 0.15084663238894849)
(7, 0.15408685653105117)
(8, 0.12556367602199051)
(9, 0.10889119703347426)
(10, 0.12877284337686767)
(11, 0.087250256512033428)
(12, 0.14044336798821103)
(13, 0.071012420516087832)
(14, 0.12424791030553735)
(15, 0.057522556394461327)
(16, 0.12482720369274)
(17, 0.049538628628981715)
(18, 0.12537725113378834)
(19, 0.041082365787044578)
(20, 0.14081932198437272)
(21, 0.033793451447006004)
(22, 0.1247040670812191)
(23, 0.030290213094787067)
(24, 0.12484013187924435)
(25, 0.028319134804628582)
(26, 0.12486589328954943)
(27, 0.027878621873758953)
(28, 0.1244473552512471)
(29, 0.023835200900014203)
(30, 0.12634192292681876)
(31, 0.022126975395397933)
(32, 0.12849295339886013)
(33, 0.019700839606849499)
(34, 0.13315196765630727)
(35, 0.018616159627399043)
(36, 0.13439991789795744)
(37, 0.016825449177236863)
(38, 0.13302503577449046)
(39, 0.015379862034662833)
(40, 0.13492934418176436)
(41, 0.013179447405761794)
(42, 0.1285233527971234)
(43, 0.01239661474828852)
(44, 0.13027374510964967)
(45, 0.011219927275437244)
(46, 0.13741699345748554)
(47, 0.010394496263977772)
(48, 0.13128593119085644)
(49, 0.0093247802306461857)
(50, 0.13626002548371646)
(51, 0.0095677805079229881)
(52, 0.13498233261834403)
(53, 0.0088532119344648177)
(54, 0.1336746216483696)
(55, 0.0080094007983352051)
(56, 0.13712459284830547)
(57, 0.0075524499109438292)
(58, 0.13062452831202268)
(59, 0.0067459004305090442)
(60, 0.13905046997870513)
(61, 0.013853090698039611)
(62, 0.12619277734854109)
(63, 0.0053951574331988217)
(64, 0.13197538357620334)
(65, 0.0066757772130575082)
(66, 0.13982255228672844)
(67, 0.012987027229506008)
(68, 0.1267363095289718)
(69, 0.011475310242636674)
(70, 0.1429290211787636)
(71, 0.020467593619631828)
(72, 0.12147955476986562)
(73, 0.012946621586206852)
(74, 0.12679336239013089)
(75, 0.012918418566084337)
(76, 0.12692108703329258)
(77, 0.0079185790952272933)
(78, 0.1407756232956186)
(79, 0.02041868136846656)
(80, 0.12155506156864856)
(81, 0.018379013438761905)
(82, 0.12306342070410234)
(83, 0.014596386722936287)
(84, 0.12566814136573703)
(85, 0.007815525328027895)
(86, 0.13034976922666114)
(87, 0.0048283911862158678)
(88, 0.13252643230016867)
(89, 0.0030552645862208377)
(90, 0.13362520913145817)
(91, 0.0016952510608504385)
(92, 0.13684163185266146)
(93, 0.0017529554171189002)
(94, 0.13687129168418818)
(95, 0.0051970307151837595)
(96, 0.13203271217955403)
(97, 0.0022731249772018785)
(98, 0.13423670015882999)
(99, 0.0056977026472598636)
(100, 0.13925336288604509)
(101, 0.0091747850772484225)
(102, 0.12956736196557458)
(103, 0.0032010329356269955)
(104, 0.13358186332573124)
(105, 0.00070521922755298425)
(106, 0.13522834413589671)
(107, 0.00061515337899896937)
(108, 0.13541750405767802)
(109, 0.0077950326934761926)
(110, 0.1303987763067618)
(111, 0.002733948517753292)
(112, 0.13389517766148001)
(113, 0.001216258607313886)
(114, 0.13643791680996897)
(115, 0.0012223593831419621)
(116, 0.13473878957812618)
(117, 0.00046724892220939248)
(118, 0.13593256924168257)
(119, 0.0036335619691965099)
(120, 0.13809574461989785)
(121, 0.0053901330079656968)
(122, 0.13900100714639685)
(123, 0.0096506923532177699)
(124, 0.12924067264905179)
(125, 0.0026777398801168472)
(126, 0.13738216264023925)
(127, 0.0026604447358870753)
(128, 0.13732784308008586)
(129, 0.0075846420897891431)
(130, 0.14053659532594759)
(131, 0.0077007268848336159)
(132, 0.13044541811271046)
(133, 0.00023254804494554469)
(134, 0.13571085175816638)
(135, 0.01271440932495521)
(136, 0.12696176957590899)
(137, 0.0042560986796527246)
(138, 0.13849999116042713)
(139, 0.0062200197654670043)
(140, 0.13158402373138073)
(141, 0.0027647982030165629)
(142, 0.13390819977344415)
(143, 0.0025406565148963786)
(144, 0.13737458280542161)
(145, 0.0024995780129784271)
(146, 0.13732290026277583)
(147, 0.0054378054573585447)
(148, 0.13210949115931434)
(149, 0.0026566084633813003)
(150, 0.13388326023470121)
(151, 0.0012179995844859002)
(152, 0.13489172932853066)
(153, 0.0050605775830520772)
(154, 0.13879064500724353)
(155, 0.0051789339367579344)
(156, 0.13214444822202298)
(157, 0.0015852567242980221)
(158, 0.13652718677459622)
(159, 0.0039900891922059617)
(160, 0.13830886515880275)
(161, 0.010426185627000822)
(162, 0.12870411684295352)
(163, 0.0083888073714341194)
(164, 0.13008030183668609)
(165, 0.0035570760341109473)
(166, 0.13326709174770623)
(167, 0.0033357659088867368)
(168, 0.13785570918900528)
(169, 0.0040158626551427806)
(170, 0.13302165034774296)
(171, 0.0030273427464482874)
(172, 0.13362006252140363)
(173, 0.0012194693606867768)
(174, 0.13484453781631101)
(175, 0.00022377285171474635)
(176, 0.13586425003249131)
(177, 0.011182504687032148)
(178, 0.12815843829424353)
(179, 0.0091206162217549649)
(180, 0.12955979978586207)
(181, 0.0023249718450547535)
(182, 0.13725688944140635)
(183, 0.012899509549303398)
(184, 0.126871476196626)
(185, 0.0029280305623926002)
(186, 0.13761084317668779)
(187, 0.013876734356173375)
(188, 0.12603921751321331)
(189, 0.011193441331181386)
(190, 0.14278776533569951)
(191, 0.010991909820841746)
(192, 0.12828306556185884)
(193, 0.0015475509300327322)
(194, 0.1345770545270864)
(195, 0.0017604438315718615)
(196, 0.13689088834547669)
(197, 0.012789464581343434)
(198, 0.12697876793321669)
(199, 0.0094069992668547025)
(200, 0.14172891060392578)
(201, 0.017453425439090234)
(202, 0.12353359073626201)
(203, 0.013006182180186173)
(204, 0.12688318312894997)
(205, 0.011235028206568482)
(206, 0.14273665853129081)
(207, 0.012315135462298092)
(208, 0.12733315956402361)
(209, 0.01194923531798797)
(210, 0.14319837986529951)
(211, 0.021139796652360612)
(212, 0.12080945396397237)
(213, 0.02152222527274554)
(214, 0.12080635595072314)
(215, 0.013118285092764571)
(216, 0.14400498068088402)
(217, 0.014114656566798688)
(218, 0.12610698168752452)
(219, 0.013158511323181493)
(220, 0.14396470373663248)
(221, 0.013508707407222936)
(222, 0.12654865292071479)
(223, 0.0071427613719689219)
(224, 0.13089766910938577)
(225, 0.0044449410416713903)
(226, 0.13862107588195516)
(227, 0.017131721990764556)
(228, 0.12391825240939193)
(229, 0.0072456644891268768)
(230, 0.14038593137070005)
(231, 0.0082808416268118547)
